Rate,Weight,Time,ell,p,p^+_x,p^+_y,i,p^-_x,p^-_y,N
0.102,0.047619047619047616,0.0035132069775301485,0.00225313592,0.000518850919,0.00014495415959999997,8.083147334e-05,0.000345980629,0.0002926450885,0.00016121164525,0.0476148319
0.103,0.05,0.0035805487933623374,0.0023531385,0.000545584215,9.724272500000002e-05,5.379953058000001e-05,0.000431823034,0.000363388062,0.0002021548443,0.0499993362
0.104,0.05,0.0036505820418084407,0.00239612905,0.000555423649,0.0001161950187,6.452295294e-05,0.000419345689,0.0003528097255,0.00019607448955,0.0499995549
0.105,0.05,0.003720628305248443,0.00246908637,0.000573663804,0.0001339315329,7.431411473e-05,0.000415376975,0.0003502268305,0.00019475719045,0.0499995608
0.106,0.05,0.0037906510079008474,0.00250885236,0.000582585753,0.0001530121455,8.577588432e-05,0.000402491624,0.00033878745500000003,0.00018757277450000002,0.0499999957
0.107,0.05,0.0038607293265666568,0.00252947473,0.0005861523,0.00017105526210000002,9.525025287000002e-05,0.000385808075,0.0003240470535,0.00017989790835,0.0499999674
0.108,0.05,0.003930764243728353,0.00261610345,0.000608348178,0.00019446224570000001,0.00010918389995000001,0.000380212407,0.0003190090625,0.00017624844385,0.0499998739
0.109,0.05263157894736842,0.004003812415518355,0.00273156825,0.000639470311,0.0001325688151,7.498412721e-05,0.000485399482,0.000407861809,0.00022692933,0.0526309575
0.11,0.05263157894736842,0.004077560539698133,0.00281983471,0.000662021436,0.0001562311609,8.807780332e-05,0.000481214277,0.0004029815625,0.00022439627125,0.0526303195
0.111,0.05263157894736842,0.004151239570703989,0.00284365625,0.000666250928,0.0001680717856,9.46306851e-05,0.000468166836,0.000394887956,0.0002199071123,0.0526315215
0.112,0.05263157894736842,0.004224964947303952,0.00289848925,0.000679421096,0.0001924711937,0.00010699956694999999,0.000454397391,0.0003816347755,0.00021375912855,0.0526314965
0.113,0.05263157894736842,0.004298699655361912,0.00295394702,0.000692641613,0.00021332314309999997,0.00012039371774999998,0.000443520184,0.000371968911,0.00020667323870000002,0.0526272296
0.114,0.05263157894736842,0.004372418192217432,0.00301357439,0.000707103362,0.0002329031853,0.00013071276505,0.00043241473,0.000364505295,0.00020315033980000002,0.052628215
0.115,0.05555555555555555,0.004449610463781863,0.00315610856,0.000746041057,0.00015687056030000003,8.813370342000001e-05,0.000564072445,0.00047433753049999996,0.00026653625074999997,0.0555546709
0.116,0.05555555555555555,0.004527461730916226,0.00322240629,0.000762332534,0.0001754447821,9.970400935e-05,0.000555337432,0.000469372901,0.0002626658131,0.0555527113
0.117,0.05555555555555555,0.004605267544686263,0.00326169702,0.000770857231,0.00019899111489999998,0.00011150832624999999,0.000537028508,0.000453254097,0.0002549849102,0.0555523294
0.118,0.05555555555555555,0.004683105892272219,0.00331725347,0.000784109153,0.0002252363027,0.00012789062435,0.0005220086,0.000438314723,0.00024500231910000003,0.0555537414
0.119,0.05555555555555555,0.004760904180546716,0.00340786933,0.000807290452,0.00024611973700000003,0.00013897565340000002,0.000516819862,0.00043667503099999996,0.0002448185361,0.0555554462
0.12,0.05555555555555555,0.0048387367502303585,0.00345908175,0.000819157469,0.000269271019,0.0001513497427,0.000503866469,0.0004237035085,0.00023814594475,0.0555542722
0.121,0.058823529411764705,0.004917501795808561,0.00363378132,0.000867678122,0.00017006289520000002,9.678989780000002e-05,0.000668613753,0.0005649693765,0.00031887155805,0.0588216421
0.122,0.058823529411764705,0.004999926752266152,0.00366560946,0.000873871764,0.00019643578619999997,0.00011108585719999999,0.000645181827,0.0005442126595,0.00030770612895,0.0588201188
0.123,0.058823529411764705,0.005082319366140935,0.0037478959,0.000894711741,0.00022205442520000006,0.00012684875790000002,0.000635395626,0.000536047892,0.0003018875616,0.0588221088
0.124,0.058823529411764705,0.005164729200433425,0.00382067616,0.000912769183,0.0002480930545,0.00014184026735,0.000622939528,0.000525231741,0.0002955656676,0.0588234534
0.125,0.058823529411764705,0.005247117542737007,0.00389133764,0.000930139564,0.000275940836,0.0001570962333,0.00060821854,0.0005121125030000001,0.00028867492990000004,0.0588234161
0.126,0.058823529411764705,0.005329545260723709,0.00396573448,0.000948749333,0.000304135862,0.0001735420566,0.000593437063,0.0004995858045,0.00028115271885,0.0588224846
0.127,0.058823529411764705,0.005411996397375201,0.00401783204,0.00096078545,0.0003276459755,0.00018517289855,0.000578244881,0.0004863899375,0.00027528736685,0.0588234039
0.128,0.058823529411764705,0.005494415802012688,0.00410217777,0.000982184106,0.00035372524250000005,0.00020051483485000003,0.000567867255,0.0004782270765,0.00027015206565,0.058823471
