Rate,Weight,Time,ell,p,p_x,p_y,N
0.222,0.10616199999999999,0.01639026556556874,0.01914348,0.00501253,0.004383525,0.0027117825,0.10616199999999999
0.223,0.106663,0.016538893539273902,0.01938074,0.00507307,0.004440635,0.0027492275,0.106663
0.224,0.10716400000000001,0.016689040879396114,0.01970196,0.00516491,0.004522005,0.0028025224999999997,0.10716400000000001
0.225,0.10766500000000001,0.01683994567089258,0.01990209,0.00521671,0.004570215000000001,0.0028347075000000003,0.10766500000000001
0.226,0.10816600000000001,0.016991993362969537,0.0199016,0.00520205,0.004563335,0.0028319475,0.10816600000000001
0.227,0.10866700000000001,0.01714445702534176,0.0202117,0.00529077,0.004641935,0.0028830975,0.10866700000000001
0.228,0.10916800000000002,0.017297343787297463,0.02077548,0.00546174,0.00478985,0.002979405,0.10916800000000002
0.229,0.10966900000000002,0.017451150873004032,0.02101406,0.00552615,0.004848745,0.0030185324999999997,0.10966900000000002
0.23,0.11017000000000002,0.01760580654934001,0.02124239,0.0055866,0.00490464,0.00305593,0.11017000000000002
0.231,0.11074500000000004,0.017761309168884735,0.02153133,0.0056672,0.0049775800000000005,0.00310448,0.11074500000000004
0.232,0.11132000000000003,0.01791745095993843,0.0218019,0.00574101,0.005045265,0.0031498925000000002,0.11132000000000003
0.233,0.11189500000000002,0.018074457609561025,0.02202531,0.0057994,0.00510003,0.003186925,0.11189500000000002
0.234,0.11247000000000001,0.018232087692705467,0.02244315,0.00592228,0.00520868,0.00325885,0.11247000000000001
0.235,0.113045,0.018390507132331597,0.02267087,0.00598154,0.00526454,0.00329685,0.113045
0.236,0.11362,0.018550492560980757,0.02269015,0.00597307,0.005263075,0.0032968575,0.11362
0.237,0.11419500000000002,0.018711982809343622,0.02264373,0.00594138,0.00524293,0.003286285,0.11419500000000002
0.238,0.11477000000000001,0.018874430148074835,0.0229108,0.00602251,0.0053126549999999995,0.0033273174999999995,0.11477000000000001
0.239,0.115345,0.019041475607779655,0.02288108,0.00601636,0.005303840000000001,0.0033324300000000004,0.115345
0.24,0.11592,0.01920280312594628,0.02311946,0.00606951,0.005359435,0.0033572875,0.11592
0.241,0.11647799999999997,0.01936687362935446,0.02377337,0.00629043,0.0055404849999999995,0.0034618724999999997,0.11647799999999997
0.242,0.11703599999999997,0.01953276374515084,0.02388932,0.00631802,0.00556714,0.00347891,0.11703599999999997
0.243,0.11759399999999998,0.01969912385585722,0.02424834,0.00643263,0.0056635750000000006,0.0035346575000000002,0.11759399999999998
0.244,0.11815199999999998,0.019866949635737822,0.02442147,0.006483,0.005707439999999999,0.00355912,0.11815199999999998
0.245,0.11870999999999998,0.02003462498252615,0.02471434,0.00657162,0.00578419,0.003605945,0.11870999999999998
0.246,0.11926799999999999,0.020204126104175327,0.02530933,0.00677499,0.005950165,0.0037029425,0.11926799999999999
0.247,0.11982599999999999,0.020373358113729513,0.02503492,0.00665532,0.00586198,0.00365305,0.11982599999999999
