Rate,Weight,Time,ell,p,p^+_x,p^+_y,i,p^-_x,p^-_y,N
0.1,0.047619047619047616,0.0034308263709616482,0.00298043471,0.000436940269,0.00010238267379999999,5.1775998534e-05,0.000308770403,0.0002371270327,0.00012002982948,0.0475725522
0.101,0.047619047619047616,0.003498522428350587,0.00304795343,0.000446531083,0.0001149150365,5.8452006827e-05,0.000298548808,0.0002325936291,0.00011777552325,0.0476124684
0.102,0.05,0.003566460600937566,0.00306840967,0.000453822189,7.02344043e-05,3.5593855344000004e-05,0.000364716263,0.0002816457206,0.00014247873094,0.049998739
0.103,0.05,0.003637881871283486,0.00317885702,0.000472059034,8.866578770000001e-05,4.4935536916000005e-05,0.000358029372,0.0002768574879,0.00013997954561,0.0499511799
0.104,0.05,0.0037092004846237016,0.00324380773,0.000481254516,0.00010396766010000001,5.267560446900001e-05,0.00034895194,0.0002688355672,0.00013599066303,0.0499971543
0.105,0.05,0.0037802989558686044,0.00325872549,0.000482234982,0.0001163484241,5.8910473728e-05,0.000331941499,0.0002577461348,0.00013057185087999998,0.0499996703
0.106,0.05,0.0038519646441870837,0.00333203445,0.000492734367,0.00012479701160000002,6.3175581263e-05,0.000328582011,0.0002576203427,0.00013063547755000002,0.0499511747
0.107,0.05,0.003922984513643036,0.0034677177,0.000516880573,0.0001497568195,7.5592624559e-05,0.000326388456,0.00025032232870000003,0.00012684177773000002,0.0499511901
0.108,0.05263157894736842,0.003997165563528659,0.0035953052,0.000542836803,0.00010018649100000002,5.0876889431000014e-05,0.000415756988,0.000319889573,0.00016247241858,0.0525801873
0.109,0.05263157894736842,0.004072084918277902,0.00358056703,0.000538759101,0.0001127960216,5.7281976816e-05,0.000396430857,0.0003037259815,0.00015378143095,0.0526297977
0.11,0.05263157894736842,0.0041471835829932115,0.00367104329,0.00055334389,0.0001235712838,6.2604843351e-05,0.000392638192,0.000303808623,0.00015384078684999998,0.052630714
0.111,0.05263157894736842,0.004222428774753977,0.00372534172,0.000561064415,0.0001452064512,7.3404582341e-05,0.00037478849,0.000288672082,0.00014654509105000002,0.0526291645
0.112,0.05263157894736842,0.004297499474809743,0.00381913024,0.000575715001,0.0001611217925,8.164600924e-05,0.000369008551,0.0002839945822,0.00014406151687,0.0526308887
0.113,0.05263157894736842,0.004372600260077062,0.00391886772,0.000592296151,0.0001788978029,9.078791419e-05,0.000360704185,0.000278670559,0.00014118830263,0.0526297458
0.114,0.05555555555555555,0.004451274116481274,0.00401821987,0.000616413242,0.00011612522550000001,5.893146613900001e-05,0.00046734269,0.000358426143,0.00018164617375,0.0555530334
0.115,0.05555555555555555,0.004530947055847561,0.00412185223,0.00063184574,0.00013854268159999998,7.056378690999999e-05,0.000457267244,0.00034922086400000004,0.00017746237437,0.0555507312
0.116,0.05555555555555555,0.004610329546482469,0.00411902896,0.000629301185,0.0001522031548,7.77957939e-05,0.000437774204,0.00033376748299999997,0.00016915264598999999,0.0555537535
0.117,0.05555555555555555,0.0046894889836549035,0.00426479329,0.000655754379,0.00016760479210000003,8.512721917000002e-05,0.000438475537,0.0003369667345,0.00017064767593,0.0555520408
0.118,0.05555555555555555,0.004769068565591599,0.00429317808,0.000657754745,0.00017873203120000002,9.090647079e-05,0.000424344578,0.000328150067,0.00016630340572,0.0555449342
0.119,0.05555555555555555,0.004848403090399965,0.0044766197,0.000689124866,0.00020574932659999995,0.00010489692385999997,0.000421526965,0.0003259209895,0.00016565763575,0.0555538751
0.12,0.058823529411764705,0.004929354706291613,0.00458457422,0.000716546988,0.0001295221588,6.596420275e-05,0.000551960203,0.0004211444445,0.00021413087358,0.058819846
0.121,0.058823529411764705,0.005013605492481319,0.00461643853,0.000720196909,0.0001467052378,7.436754478e-05,0.000531355253,0.0004066965465,0.00020693761356999998,0.0588172395
0.122,0.058823529411764705,0.0050977428220127415,0.00470546685,0.000734856165,0.0001596988234,8.135268884e-05,0.00052603246,0.000404805722,0.00020557857985999998,0.0588230135
0.123,0.058823529411764705,0.005181829424854872,0.00485759816,0.000761866704,0.00019022259360000003,9.678117248000002e-05,0.000516323585,0.0003945471575,0.00020048077381,0.0588235055
0.124,0.058823529411764705,0.005266163547860003,0.00484329422,0.000757080381,0.0002002147096,0.00010171581928,0.00049743114,0.000380550123,0.00019297124731,0.0588083972
0.125,0.058823529411764705,0.005350576225791591,0.00507726017,0.000797530225,0.00023239662930000002,0.00011903509903000001,0.000499555469,0.0003806512405,0.00019331563075,0.0588202267
0.126,0.058823529411764705,0.005434391510265473,0.00508598912,0.000798223358,0.0002469424392,0.00012556309661,0.000478995937,0.00036537816249999997,0.0001854892375,0.058821075
0.127,0.058823529411764705,0.005518695587372105,0.00516775397,0.000811597871,0.00027045185090000004,0.00013757700421000003,0.000464963625,0.0003519327095,0.00017844887936,0.0588168689
0.128,0.0625,0.005608341786025422,0.00539211466,0.000864227833,0.00017102794269999999,8.727446118999999e-05,0.000641655174,0.000488753074,0.00024807831661,0.0624980016
0.129,0.0625,0.005697896269467454,0.00543030037,0.000868328078,0.00019487289540000004,9.928055228000002e-05,0.000615258693,0.00046878807649999995,0.00023828431957999998,0.0624955843
0.13,0.0625,0.005787758965193237,0.00544314698,0.00086827724,0.00019716331910000001,0.00010016259438,0.000608929069,0.0004659787355,0.00023661241219000002,0.0624967205
0.131,0.0625,0.005877253096690856,0.00557015973,0.000890595724,0.0002356597571,0.000120096328,0.000586965387,0.0004444204025,0.00022530585404000001,0.0624938443
0.132,0.0625,0.005967007040918798,0.00567232509,0.000906244049,0.0002535989381,0.00012995407985999998,0.000575691699,0.0004396932955,0.0002229871921,0.062498078
0.133,0.0625,0.006056620869979745,0.00571771906,0.000913761196,0.0002741237703,0.00013924194582999998,0.000563096054,0.000423648484,0.00021500160239,0.0624918663
0.134,0.0625,0.006146289735658932,0.00587835103,0.000941047857,0.000298576148,0.00015153268186,0.000556754973,0.0004209508245,0.00021461152154,0.0624967366
0.135,0.0625,0.006236101975484829,0.00585554505,0.000935201383,0.000313386874,0.00015957149123,0.000523869349,0.00040052934649999997,0.00020279655469999998,0.062497695
0.136,0.06666666666666667,0.006329891850665845,0.0061422093,0.00100375666,0.00020506440719999998,0.00010440273994999999,0.000740489954,0.000558028058,0.00028361133894,0.0666605827
0.137,0.06666666666666667,0.006425690199487471,0.00618286297,0.00100784825,0.00021853351970000002,0.00011122263853,0.000723115942,0.000548160622,0.00027869481887000003,0.0666626457
0.138,0.06666666666666667,0.006521747289213975,0.00623906655,0.00101522084,0.0002342297297,0.0001195200289,0.000704347774,0.000538593777,0.00027371539235,0.0666613012
