Rate,Weight,Time,ell,p,i,N
0.237,0.1111111111111111,0.02124394831914675,0.00372021,0.00085956,0.00027761,0.11111111
0.238,0.1111111111111111,0.02143038072029372,0.00376087,0.00086953,0.00027404,0.11111111
0.239,0.1111111111111111,0.02161681388219749,0.00380444,0.00088032,0.00027064,0.11111111
0.24,0.1111111111111111,0.02180324641901077,0.00384832,0.00089108,0.00026803,0.11111111
0.241,0.1111111111111111,0.021989678605322697,0.00389696,0.00090327,0.00026501,0.11111111
0.242,0.1111111111111111,0.022176112279365938,0.00393368,0.00091217,0.00026102,0.11111111
0.243,0.1111111111111111,0.02236254366273945,0.00398099,0.00092391,0.00025844,0.11111111
0.244,0.1111111111111111,0.02254897610401891,0.00402811,0.00093567,0.00025535,0.11111111
0.245,0.1111111111111111,0.022735409280604697,0.0040683,0.00094547,0.00025203,0.11111111
0.246,0.1111111111111111,0.02292184148345272,0.00411912,0.00095823,0.00024948,0.11111111
0.247,0.1111111111111111,0.023108274751968964,0.00415661,0.00096732,0.00024566,0.11111111
0.248,0.1111111111111111,0.023294706656055347,0.00420617,0.00097972,0.00024305,0.11111111
0.249,0.1111111111111111,0.023481139205500906,0.00424862,0.00099017,0.00023973,0.11111111
0.25,0.1111111111111111,0.02366757198199822,0.00429041,0.00100045,0.00023625,0.11111111
0.251,0.1111111111111111,0.02385400421015262,0.00433841,0.00101238,0.00023381,0.11111111
0.252,0.1111111111111111,0.024040437367227163,0.00438192,0.00102311,0.00023065,0.11111111
0.253,0.125,0.02422765249312283,0.00413841,0.00097257,0.00041333,0.125
0.254,0.125,0.0244423239017162,0.00418424,0.00098421,0.00040843,0.125
0.255,0.125,0.024656997180166094,0.0042381,0.00099806,0.00040478,0.125
0.256,0.125,0.024871670720048405,0.0042936,0.00101238,0.00040122,0.125
0.257,0.125,0.025086343933570142,0.00435157,0.00102744,0.0003977,0.125
0.258,0.125,0.025301017394040646,0.00440494,0.0010412,0.00039366,0.125
0.259,0.125,0.025515690337382005,0.00446144,0.0010558,0.00039025,0.125
0.26,0.125,0.025730363306131578,0.00451388,0.00106926,0.00038634,0.125
0.261,0.125,0.025945036980014782,0.0045689,0.00108344,0.00038275,0.125
0.262,0.125,0.026159709949306845,0.00462684,0.0010985,0.00037915,0.125
0.263,0.125,0.026374384053357215,0.00467678,0.00111126,0.00037499,0.125
0.264,0.125,0.026589056413909136,0.00473535,0.00112648,0.00037156,0.125
0.265,0.125,0.02680372953325488,0.00478841,0.00114011,0.00036776,0.125
0.266,0.125,0.02701840310478795,0.00484328,0.00115424,0.00036418,0.125
0.267,0.125,0.02723307600177052,0.0048966,0.00116796,0.00036036,0.125
0.268,0.125,0.02744774910956288,0.00495309,0.00118258,0.00035679,0.125
0.269,0.125,0.027662422723111882,0.00501172,0.00119784,0.00035322,0.125
0.27,0.125,0.027877096206484916,0.00506578,0.00121167,0.00035001,0.125
0.271,0.125,0.028091769036433577,0.00512073,0.00122589,0.0003461,0.125
0.272,0.125,0.0283064426482504,0.00517289,0.00123934,0.00034178,0.125
0.273,0.125,0.028521115410013936,0.00522901,0.0012538,0.00033848,0.125
0.274,0.125,0.028735789031192914,0.00528478,0.00126822,0.00033482,0.125
0.275,0.125,0.028950462442345136,0.00534054,0.00128269,0.00033087,0.125
0.276,0.125,0.02916513518123667,0.00539265,0.001296,0.00032724,0.125
0.277,0.125,0.029379809189879938,0.00545398,0.00131201,0.00032404,0.125
0.278,0.125,0.029594481548203225,0.00550177,0.00132412,0.00031986,0.125
0.279,0.125,0.029809155111332985,0.00555994,0.00133928,0.00031613,0.125
0.28,0.125,0.030023828853253144,0.00561184,0.00135249,0.0003127,0.125
0.281,0.125,0.030238501208715764,0.00566852,0.0013672,0.00030897,0.125
0.282,0.125,0.030453174580399454,0.00572402,0.00138157,0.0003051,0.125
0.283,0.125,0.030667847814816997,0.00577902,0.00139575,0.00030154,0.125
0.284,0.125,0.03088252110233241,0.00583067,0.00140896,0.00029769,0.125
0.285,0.125,0.031097194408999385,0.00589033,0.00142453,0.00029413,0.125
0.286,0.125,0.03131186794297682,0.00594642,0.001439,0.00029078,0.125
0.287,0.125,0.03152654087600895,0.0059982,0.00145223,0.00028705,0.125
0.288,0.125,0.03174121389744337,0.00605311,0.00146644,0.00028313,0.125
0.289,0.14285714285714285,0.0319703959361475,0.00546692,0.00132491,0.00054818,0.14285714
0.29,0.14285714285714285,0.032223571962197786,0.00553681,0.00134385,0.00054374,0.14285714
0.291,0.14285714285714285,0.03247674691874422,0.005609,0.00136351,0.00053938,0.14285714
0.292,0.14285714285714285,0.03272992214250755,0.0056823,0.00138351,0.00053505,0.14285714
0.293,0.14285714285714285,0.03298309789158583,0.0057514,0.00140226,0.00053033,0.14285714
0.294,0.14285714285714285,0.03323627320163698,0.00582541,0.00142238,0.00052646,0.14285714
0.295,0.14285714285714285,0.03348944869399552,0.005896,0.00144156,0.00052198,0.14285714
0.296,0.14285714285714285,0.033742623896634745,0.00596571,0.00146046,0.00051748,0.14285714
0.297,0.14285714285714285,0.03399579938617507,0.00603584,0.00147949,0.00051296,0.14285714
