Rate,Weight,Time,ell,p,p_x,p_y,N
0.075,0.03642,0.0019355363685882394,0.00146948266,0.000197210423,0.0001555776438,7.8333173277e-05,1.0
0.076,0.036928,0.0019874419244024864,0.00144599102,0.000193394723,0.0001521317596,7.6254311177e-05,1.0
0.077,0.037436000000000004,0.002039327161684008,0.00161968648,0.000221221759,0.0001735910956,8.7236986005e-05,1.0
0.078,0.037944,0.002091895429988392,0.00161311707,0.000218476915,0.0001723573798,8.7017093236e-05,1.0
0.079,0.038452,0.002145377458101163,0.00163489537,0.000221618872,0.0001748887271,8.8358654215e-05,1.0
0.08,0.03896,0.0021993674046449654,0.00171220408,0.000234231702,0.00018419246629999998,9.2850688511e-05,1.0
0.081,0.039447,0.0022544937993552116,0.00170573011,0.000233218616,0.0001829572681,9.2011702124e-05,1.0
0.082,0.039934000000000004,0.0023096372699359705,0.00182624874,0.000252284508,0.0001978068004,9.9607755673e-05,1.0
0.083,0.040421,0.002366044386849922,0.00181235252,0.000248332834,0.0001957265774,9.898720709000001e-05,1.0
0.084,0.040908,0.0024228013454611662,0.00190317776,0.000262331094,0.00020680172029999998,0.00010481760295,1.0
0.085,0.041395,0.0024801389051817774,0.00198136576,0.000275860754,0.00021611080889999998,0.00010898299396599998,1.0
0.086,0.041881999999999996,0.002538330743836503,0.00200798008,0.00028040961,0.0002193569531,0.000110452335333,1.0
0.087,0.042369,0.0025969818098415835,0.00210572249,0.000296440881,0.00023157037849999999,0.000116670347989,1.0
0.088,0.04285599999999999,0.0026566125522411994,0.00221804207,0.000314875068,0.0002456748235,0.00012389987164,1.0
0.089,0.04334299999999999,0.002716655812237836,0.00222708054,0.000315445242,0.000246363706,0.00012431280849,1.0
0.09,0.043829999999999994,0.002777466314981881,0.00228880023,0.000325063868,0.0002539888101,0.00012833647007000001,1.0
0.091,0.044277,0.0028392459465467774,0.00239887864,0.000344664296,0.0002678681485,0.00013486396147199998,1.0
0.092,0.044724,0.002901248644096345,0.00241172329,0.000344770356,0.0002690785057,0.00013600088249,1.0
0.093,0.045170999999999996,0.002964162926470665,0.00249907417,0.000358770234,0.000279940946,0.00014165149094000001,1.0
0.094,0.045618,0.0030277506182889843,0.00251181328,0.000359665456,0.00028132566,0.0001426748811,1.0
0.095,0.046065,0.0030919152944611293,0.00262932888,0.000379608598,0.00029633450100000004,0.00015025254936000003,1.0
0.096,0.046512000000000005,0.0031568451508683674,0.00271235942,0.000393443064,0.00030672250799999997,0.00015547540262999998,1.0
0.097,0.046959,0.003222441762379255,0.00276630189,0.000402271753,0.0003130972105,0.00015850808296,1.0
0.098,0.047406000000000004,0.003288560698006801,0.00279490243,0.000406593242,0.000316474273,0.00016022545142000002,1.0
0.099,0.04785300000000001,0.0033555363484864213,0.00283948791,0.000413442135,0.0003219215215,0.00016312058589,1.0
0.1,0.0483,0.003423127955840415,0.00289555319,0.00042281553,0.00032867529399999997,0.00016632083948,1.0
0.101,0.048794000000000004,0.00349162469812912,0.00309347573,0.000457272652,0.000355000419,0.00018001258995,1.0
0.102,0.049288,0.003560411248096656,0.0031179218,0.000462108499,0.0003575202385,0.00018057962900999998,1.0
0.103,0.04978199999999999,0.0036300179670200176,0.00318219394,0.000471546651,0.0003656769095,0.00018525754048,1.0
0.104,0.050275999999999994,0.003700945623067567,0.00332725716,0.000497463153,0.0003849248335,0.00019489539125,1.0
0.105,0.050769999999999996,0.0037714467128353484,0.00326043911,0.000484287391,0.0003750412715,0.00018985929868,1.0
0.106,0.051264,0.0038429959019415615,0.00335037579,0.000500338329,0.0003866671255,0.00019545393547,1.0
0.107,0.051758,0.0039157213557081075,0.00342540683,0.000510910399,0.0003966629885,0.00020175178526,1.0
0.108,0.05225199999999999,0.0039885383403187495,0.00360784496,0.000544701253,0.00042094497550000003,0.00021349422683,1.0
0.109,0.052745999999999994,0.004062553699188657,0.00358270129,0.000537652923,0.0004159970765,0.00021101582953,1.0
0.11,0.053239999999999996,0.004136722782922874,0.00367902911,0.00055545293,0.00042901138499999996,0.00021745193263,1.0
0.111,0.053723999999999994,0.00421169920546355,0.00381761512,0.000580772756,0.00044798916500000003,0.00022720282459,1.0
0.112,0.054208,0.004287447623188473,0.00388878412,0.000593941264,0.000457036506,0.00023130100484,1.0
0.113,0.054692,0.004363837552429392,0.00395802634,0.00060470813,0.000466103564,0.00023643430685000002,1.0
0.114,0.055176,0.004441256731228866,0.00398987549,0.000608162596,0.000469410606,0.00023842217014,1.0
0.115,0.05566,0.004518976690605497,0.00404044999,0.000617098174,0.000476105671,0.00024181883664000002,1.0
0.116,0.056144,0.004597477275707853,0.00421127435,0.00064817344,0.000499455719,0.00025380014793,1.0
0.117,0.056628000000000005,0.00467666843472838,0.00433993655,0.000673543898,0.00051665072,0.00026168099755999997,1.0
0.118,0.057111999999999996,0.004756608242972157,0.00436728388,0.000676235528,0.00051934366,0.00026330892314,1.0
0.119,0.057596,0.004837070166885635,0.00445695413,0.000691050423,0.0005318949785,0.00027055917134999997,1.0
0.12,0.05808,0.0049184423089367055,0.00465601844,0.000729713756,0.000559295961,0.00028382947609,1.0
0.121,0.058577000000000004,0.0050002700184636865,0.0046171456,0.000719302196,0.00055280443,0.00028103391814999996,1.0
0.122,0.059074,0.005083837063983972,0.00487671151,0.000768619286,0.000588077699,0.00029842610777000003,1.0
0.123,0.059571000000000006,0.005166393563873125,0.00483756796,0.000759649405,0.0005822670705,0.00029575511006999997,1.0
0.124,0.060068,0.005250232125388705,0.00491262445,0.000774757236,0.000592582072,0.0003004596188,1.0
0.125,0.06056500000000001,0.005334846521498626,0.0049867809,0.000787391149,0.0006024047075,0.00030570560339,1.0
0.126,0.06106200000000001,0.005420356570718349,0.00500485697,0.000789702178,0.000604067347,0.00030638066133,1.0
0.127,0.06155900000000001,0.005506361375061369,0.00521561861,0.000827290168,0.000633973499,0.00032287926466,1.0
0.128,0.06205600000000001,0.005593235711448661,0.0053090928,0.000845329472,0.000646566821,0.00032881444245,1.0
0.129,0.06255300000000003,0.00568094145567594,0.00529619245,0.000844835768,0.000643277913,0.00032545595685,1.0
0.13,0.06305000000000002,0.005769136043117714,0.005489291,0.000878874241,0.0006699830535,0.00033994822724,1.0
0.131,0.06353500000000001,0.0058575842895780515,0.00555130433,0.0008888476,0.000678873277,0.0003452504979,1.0
